337413	Vi trodde att det var ett flygande tefat.	594386	Wir hielten es für eine fliegende Untertasse.
341910	Detta är huset jag bodde i när jag var barn.	915610	Das ist das Haus, in dem ich als Kind gewohnt habe.
341938	Vi hade roligt på stranden igår.	2137601	Gestern hatten wir am Strand viel Spaß.
341939	Jag spelade tennis hela dagen.	915612	Ich spielte den ganzen Tag Tennis.
341941	Han vande sig kvickt vid det kalla vädret.	345411	Er gewöhnte sich schnell an das kalte Wetter.
341944	Kan du simma lika snabbt som honom?	915617	Kannst du genauso schnell wie er schwimmen?
353815	Han är inte läkare.	357763	Er ist kein Arzt.
353817	Åh nej! Mitt hus brinner!	915628	Oh weh! Mein Haus brennt!
353818	Jag trodde aldrig att ett såhär fint hotell skulle finnas på en sådan här plats.	915633	Ich hätte nie gedacht, dass es an so einem Ort ein so schönes Hotel gibt.
353819	Detta är deras hus.	341974	Das ist ihr Haus.
353820	Men hon tyckte om barn och gillade sitt jobb.	915638	Aber sie mochte Kinder und ihr gefiel ihre Arbeit.
353821	Hon tycker mycket om att skriva dikter.	915640	Sie schreibt sehr gern Gedichte.
353823	Hon bad mig att se efter hennes bebis medans hon var borta.	915646	Sie bat mich, auf ihr Baby aufzupassen, während sie weg ist.
353824	Han gnäller alltid på dålig medicinsk behandling.	1245567	Er beklagt sich ständig über seine schlechte medizinische Betreuung.
372403	Hon är en tillförlitlig person.	370777	Sie ist eine verlässliche Person.
372416	Solen skiner.	616853	Die Sonne scheint.
372419	Den här boken verkar intressant.	915649	Das Buch hier sieht interessant aus.
372420	Det var en ny bok.	915651	Das war ein neues Buch.
372423	Vems bok är det?	364978	Wessen Buch ist das?
372425	Den här boken tillhör skolbiblioteket.	915657	Dieses Buch gehört der Schulbibliothek.
372426	Den här boken handlar om Kina.	915658	Dieses Buch handelt von China.
372428	Du är så trevlig.	3381565	Du bist so sympathisch.
372445	Idag mår jag mycket bättre.	372395	Ich fühle mich heute viel besser.
372449	Skolan ser ut som ett fängelse.	917265	Die Schule sieht wie ein Gefängnis aus.
372451	Alla dessa böcker är mina.	915661	Das sind alles meine Bücher.
372453	Behöver du den här boken?	917274	Brauchst du das Buch hier?
372466	Hon ville resa.	372463	Sie hat reisen wollen.
372468	Framför oss stod en skrattande flicka.	372467	Vor uns stand ein lachendes Mädchen.
372471	Han arbetar åtta timmar om dagen.	360860	Er arbeitet acht Stunden am Tag.
372473	Jag pratar inte tyska.	863567	Ich spreche kein Deutsch.
372474	Jag förstår inte tyska.	590	Ich verstehe kein Deutsch.
372475	Jag kan inte prata tyska.	426471	Ich kann nicht Deutsch sprechen.
372475	Jag kan inte prata tyska.	915664	Ich kann kein Deutsch sprechen.
372476	Tyskan är inte ett lätt språk.	340857	Deutsch ist keine einfache Sprache.
372476	Tyskan är inte ett lätt språk.	917270	Deutsch ist keine leichte Sprache.
372478	Pratar du japanska?	359611	Sprechen Sie Japanisch?
372479	Många utlänningar pratar bra japanska.	915667	Viele Ausländer sprechen gutes Japanisch.
372485	Min hund är vit.	619016	Mein Hund ist weiß.
372620	Det är kallt.	623	Es ist kalt.
372621	Det regnar.	673	Es regnet.
372622	Det är inte viktigt.	1157	Das ist nicht wichtig.
372623	Glöm inte biljetten.	379441	Vergessen Sie die Fahrkarte nicht.
372627	Jag brukar diska.	917293	Ich mache gewöhnlich den Abwasch.
372628	Det är varmt idag.	338708	Es ist heute heiß.
372628	Det är varmt idag.	352998	Heute ist es heiß.
372629	Kommer du ihåg mig?	1570514	Erinnern Sie sich an mich?
372630	Nu är jag på flygplatsen.	917276	Jetzt bin ich am Flughafen.
372632	Föräldrar älskar sina barn.	338310	Eltern lieben ihre Kinder.
372634	Visa mig ett annat exempel.	353739	Zeig mir ein anderes Beispiel.
372636	Igår på morgonen var det väldigt kallt.	369995	Gestern Morgen war es sehr kalt.
375874	Varför?	362667	Warum?
376074	Vad gör du?	376073	Was machst du?
376074	Vad gör du?	1584307	Was machst du da?
397491	Tack!	397489	Danke!
401217	Jag skulle vilja bo i New York.	917280	Ich möchte in New York wohnen.
401222	Företaget kämpar för sin överlevnad.	560636	Die Firma kämpft ums Überleben.
401223	Jag ska fråga honom om det imorgon.	917285	Ich frage ihn morgen danach.
401228	Jag orkar inte lyssna mer på hennes klagomål.	1231202	Ich kann ihr Gejammer nicht mehr hören.
401232	I medicinsk forskning är ett av de största problemen att ta reda på orsaken till sjukdomen.	928282	In der medizinischen Forschung ist eines der größten Probleme, die Ursache der Krankheit einzugrenzen.
401242	Först och främst måste du leta upp det i ordboken.	1304890	Zuallererst musst du es im Wörterbuch nachschlagen.
401244	Valets resultat kommer snart att bli analyserat.	917288	Die Wahlergebnisse werden bald analysiert werden.
401245	Han gillar skvaller.	1216304	Er liebt Klatsch und Tratsch.
401258	Hon sa att hon inte gillade den, men jag tyckte, personligen, att den var väldigt bra.	928263	Sie sagte, dass ihr das nicht gefiel, aber ich persönlich dachte, dass es sehr gut war.
401269	Jag väntade inte länge förrän han dök upp.	1239165	Ich hatte nicht lange gewartet, da tauchte er auch schon auf.
401275	Jag har varit i fler än tio länder hittills.	917306	Ich war bisher in mehr als zehn ausländischen Ländern.
401282	Ett slagsmål om ingenting uppstod mellan dem.	1274451	Ohne jeden Anlass kam es zwischen ihnen zu einer Schlägerei.
401283	Det är allt jag känner till om honom.	1218052	Das ist alles, was ich von ihm weiß.
401293	Jag vet inte vad jag ska säga.	140014	Ich weiß nicht, was ich sagen soll.
401301	Jag bröt av min tumnagel.	1231201	Ich habe mir meinen Daumennagel abgebrochen.
401310	Han flyttade till en varmare plats för sin hälsas skull.	1215405	Mit Rücksicht auf seine Gesundheit zog er an einen wärmeren Ort.
401321	Min bror måste ha skrivit det här brevet.	917131	Mein Bruder muss diesen Brief geschrieben haben.
401330	Han gifte sig med en vacker flicka.	646843	Er heiratete ein hübsches Mädchen.
401348	Ge mig nyckeln.	657689	Gib mir den Schlüssel.
401372	Den här klänningen skrynklar sig lätt.	2196582	Dies Kleid knittert leicht.
401391	Jag kommer så fort jag kan.	933579	Ich komme, sobald ich kann.
401411	Hur var din semester?	666068	Wie waren deine Ferien?
401411	Hur var din semester?	1735677	Wie war dein Urlaub?
401412	Vi dekorerade rummet själva.	928284	Wir haben das Zimmer selbst dekoriert.
401418	Det här passet är giltigt för fem år.	671963	Dieser Pass ist fünf Jahre gültig.
401421	Om jag visste sanningen skulle jag ha berättat den för dig.	933581	Hätte ich die Wahrheit gewusst, hätte ich sie dir erzählt.
401461	Oj! Det är billigt!	671939	Oh! Das ist billig!
401465	Vi har många jordbävningar i Japan.	1211719	Wir haben in Japan viele Erdbeben.
401465	Vi har många jordbävningar i Japan.	1211722	Bei uns in Japan gibt es viele Erdbeben.
401467	Tandläkaren drog ut hennes dåliga tand.	928465	Der Zahnarzt zog ihr ihren schlechten Zahn.
401469	Jag hoppas att du aldrig blir kommunist.	923295	Ich hoffe, dass du nie Kommunist wirst.
401471	Det ser ut som att det ska börja regna.	915694	Es sieht nach Regen aus.
401478	Meg pratar för mycket.	367382	Meg redet zu viel.
401486	Han är kortare än Tom.	604907	Er ist kleiner als Tom.
401487	Vi var fattiga, men glada.	1000065	Wir waren arm, aber glücklich.
401505	Jag har bott här.	927198	Ich habe hier gewohnt.
401507	Det är dags att du börjar stå på dina två egna fötter.	927191	Es ist an der Zeit, dass du beginnst auf deinen eigenen Beinen zu stehen.
401510	Jag kände mig smått illamående.	1401947	Mir war ein wenig übel.
401516	Sluta reta mig.	3292703	Hör auf, mich zu ärgern!
401520	Kan du förklara hur diskmaskinen fungerar?	923233	Kannst du erklären, wie die Spülmaschine funktioniert?
401525	När jag besökte deras lägenhet, var paret mitt i ett gräl.	1214605	Als ich auf Besuch in ihre Wohnung kam, war das Paar mitten in einem Streit.
401529	Han svarade inte på mitt brev.	916876	Er antwortete nicht auf meinen Brief.
